######################### Start train #########################
[Learner] Update_iteration: 38200  	 | actor_loss : 1606.621 	 | critic_loss : 22.488
[Learner] Update_iteration: 38400  	 | actor_loss : 1614.555 	 | critic_loss : 24.291
[Learner] Update_iteration: 38600  	 | actor_loss : 1622.426 	 | critic_loss : 22.733
[Learner] Update_iteration: 38800  	 | actor_loss : 1630.954 	 | critic_loss : 22.968
[Learner] Update_iteration: 39000  	 | actor_loss : 1638.421 	 | critic_loss : 23.073
[Learner] Update_iteration: 39200  	 | actor_loss : 1646.802 	 | critic_loss : 22.995
[Learner] Update_iteration: 39400  	 | actor_loss : 1655.074 	 | critic_loss : 25.869
[Learner] Update_iteration: 39600  	 | actor_loss : 1663.479 	 | critic_loss : 27.289
[Learner] Update_iteration: 39800  	 | actor_loss : 1671.212 	 | critic_loss : 24.424
[Learner] Update_iteration: 40000  	 | actor_loss : 1679.568 	 | critic_loss : 28.000
[Learner] Update_iteration: 40200  	 | actor_loss : 1688.022 	 | critic_loss : 28.427
[Learner] Update_iteration: 40400  	 | actor_loss : 1696.464 	 | critic_loss : 29.722
[Learner] Update_iteration: 40600  	 | actor_loss : 1704.070 	 | critic_loss : 26.272
[Learner] Update_iteration: 40800  	 | actor_loss : 1711.584 	 | critic_loss : 24.454
[Learner] Update_iteration: 41000  	 | actor_loss : 1720.138 	 | critic_loss : 26.108
[Learner] Update_iteration: 41200  	 | actor_loss : 1727.744 	 | critic_loss : 28.394
[Learner] Update_iteration: 41400  	 | actor_loss : 1737.288 	 | critic_loss : 37.820
[Learner] Update_iteration: 41600  	 | actor_loss : 1745.347 	 | critic_loss : 39.266
[Learner] Update_iteration: 41800  	 | actor_loss : 1753.940 	 | critic_loss : 36.885
[Learner] Update_iteration: 42000  	 | actor_loss : 1761.581 	 | critic_loss : 35.172
[Learner] Update_iteration: 42200  	 | actor_loss : 1771.314 	 | critic_loss : 43.701
[Learner] Update_iteration: 42400  	 | actor_loss : 1781.230 	 | critic_loss : 102.558
[Learner] Update_iteration: 42600  	 | actor_loss : 1790.295 	 | critic_loss : 131.599
[Learner] Update_iteration: 42800  	 | actor_loss : 1801.667 	 | critic_loss : 241.188
[Learner] Update_iteration: 43000  	 | actor_loss : 1804.559 	 | critic_loss : 101.168
[Learner] Update_iteration: 43200  	 | actor_loss : 1818.346 	 | critic_loss : 274.515
[Learner] Update_iteration: 43400  	 | actor_loss : 1821.793 	 | critic_loss : 68.541
[Learner] Update_iteration: 43600  	 | actor_loss : 1830.560 	 | critic_loss : 55.196
[Learner] Update_iteration: 43800  	 | actor_loss : 1838.271 	 | critic_loss : 50.371
[Learner] Update_iteration: 44000  	 | actor_loss : 1853.328 	 | critic_loss : 380.730
[Learner] Update_iteration: 44200  	 | actor_loss : 1862.871 	 | critic_loss : 496.665
[Learner] Update_iteration: 44400  	 | actor_loss : 1866.047 	 | critic_loss : 102.056
[Learner] Update_iteration: 44600  	 | actor_loss : 1872.375 	 | critic_loss : 69.956
[Learner] Update_iteration: 44800  	 | actor_loss : 1881.709 	 | critic_loss : 100.744
[Learner] Update_iteration: 45000  	 | actor_loss : 1890.343 	 | critic_loss : 158.241
[Learner] Update_iteration: 45200  	 | actor_loss : 1904.156 	 | critic_loss : 162.367
[Learner] Update_iteration: 45400  	 | actor_loss : 1908.720 	 | critic_loss : 75.128
